0:0:0:0:0:0:0:1 - - [16/Aug/2017:17:49:09 +0800] "GET /fs.tlms/dwr/util.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Aug/2017:17:49:09 +0800] "GET /fs.tlms/dwr/engine.js HTTP/1.1" 200 47302
0:0:0:0:0:0:0:1 - - [16/Aug/2017:17:49:09 +0800] "GET /fs.tlms/dwr/interface/AuthorityDwrAction.js HTTP/1.1" 200 758
0:0:0:0:0:0:0:1 - - [16/Aug/2017:17:49:09 +0800] "GET /fs.tlms/core/cmp_min/grid3-all_min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Aug/2017:17:49:09 +0800] "GET /fs.tlms/dwr/interface/GridViewAction.js HTTP/1.1" 200 1605
0:0:0:0:0:0:0:1 - - [16/Aug/2017:17:49:09 +0800] "GET /fs.tlms/core/cmp_min/grid3-all_min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Aug/2017:17:49:09 +0800] "POST /fs.tlms/dwr/call/plaincall/AuthorityDwrAction.getFuncAuth.dwr HTTP/1.1" 200 121
0:0:0:0:0:0:0:1 - - [16/Aug/2017:17:49:09 +0800] "GET /fs.tlms/dwr/interface/CmpTplDwrAction.js HTTP/1.1" 200 1701
0:0:0:0:0:0:0:1 - - [16/Aug/2017:17:49:09 +0800] "GET /fs.tlms/dwr/interface/ComboxAction.js HTTP/1.1" 200 412
0:0:0:0:0:0:0:1 - - [16/Aug/2017:17:49:09 +0800] "GET /fs.tlms/core/cmp_min/combo-all_min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Aug/2017:17:49:09 +0800] "GET /fs.tlms/core/cmp_min/combo-all_min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Aug/2017:17:49:09 +0800] "GET /fs.tlms/dwr/interface/ExportDwrAction.js HTTP/1.1" 200 891
